ผู้ชายญี่ปุ่น	phu chaai yiipun	pūˋ chāi yīˋ bunˇ	日本男生	engine-auto	
ผู้หญิงจีน	phu ying jiin	pūˋ yingˊ jīn	中國女生	engine-auto	
ผู้หญิงเกาหลี	phu ying gaoli	pūˋ yingˊ gāu līˊ	韓國女生	engine-auto	
ผู้หญิงเวียดนาม	phu ying wiatnaam	pūˋ yingˊ wīatˋ nām	越南女生	engine-auto	
ห้องน้ำ	hong nam	hɔ̄ngˋ nām~	廁所	engine-auto	
ห้องน้ำหญิง	hong nam ying	hɔ̄ngˋ nām~ yingˊ	女廁	engine-auto	
ห้องน้ำผู้หญิง	hong nam phu ying	hɔ̄ngˋ nām~ pūˋ yingˊ	女廁	engine-auto	
ห้องน้ำชาย	hong nam chaai	hɔ̄ngˋ nām~ chāi	男廁	engine-auto	
ห้องน้ำผู้ชาย	hong nam phu chaai	hɔ̄ngˋ nām~ pūˋ chāi	男廁	engine-auto	
เด็ก	dek	dhekˇ	小孩	engine-auto	
เด็กผู้ชาย	dek phu chaai	dhekˇ pūˋ chāi	小男孩	engine-auto	
เด็กผู้หญิง	dek phu ying	dhekˇ pūˋ yingˊ	小女孩	engine-auto	
ผู้ใหญ่สาม เด็กสอง	phu yai saam dek song	pūˋ yaiˇ sāmˊ dhekˇ sɔ̄ngˊ	大人三位，小孩兩位	engine-auto	
เพื่อน	phuean	pɯ̄anˋ	朋友	engine-auto	
มีเพื่อน	mii phuean	mī pɯ̄anˋ	有朋友	engine-auto	
เพื่อนคนไทย	phuean khon thai	pɯ̄anˋ kon tai	泰國朋友	engine-auto	
เพื่อนมาไต้หวัน	phuean maa taiwan	pɯ̄anˋ mā daiˋ wanˊ	朋友來台灣	engine-auto	
แฟน	faen	fɛ̄n	情人/男女朋友	engine-auto	
มีแฟนแล้ว	mii faen laew	mī fɛ̄n lɛ̄u~	有情人了	engine-auto	
แฟนเป็นคนไทย	faen pen khon thai	fɛ̄n ben kon tai	情人是泰國人	engine-auto	
สามี	saa mii	sāˊ mī	丈夫	engine-auto	
ครู	khruu	krū	老師	engine-auto	
อาจารย์	aajaan	ā jān	教授/師傅	engine-auto	
ครูภาษาไทย	khruu phasaa thai	krū pā sāˊ tai	泰文老師	engine-auto	
อาจารย์ภาษาไทย	aajaan phasaa thai	ā jān pā sāˊ tai	泰文教授	engine-auto	
ครูภาษาจีน	khruu phasaa jiin	krū pā sāˊ jīn	中文老師	engine-auto	
ครูภาษาญี่ปุ่น	khruu phasaa yiipun	krū pā sāˊ yīˋ bunˇ	日文老師	engine-auto	
โยคะ	yoo kha	yō ka~	瑜珈	engine-auto	
ครูโยคะ	khruu yoo kha	krū yō ka~	瑜珈老師	engine-auto	
ครูเปียโน	khruu pia no	krū bīa nō	鋼琴老師	engine-auto	
เปียโน	pia no	bīa nō	鋼琴	engine-auto	
นักเรียน	nak rian	nak~ rīan	學生（中小學）	engine-auto	
นักศึกษา	nak seuk saa	nak~ sɯkˇ sāˊ	大學生	engine-auto	
ฉัน	chan	chanˊ	我 (女性)	engine-auto	
ผม	phom	pomˊ	我 (男性)	engine-auto	
เรา	rao	rāu	我/我們	engine-auto	
คุณ	khun	kun	你	engine-auto	
เธอ	thoe	tə̄	你 (用於平輩或晚輩)	engine-auto	
เธอชื่ออะไร	thoe chue a-rai	tə̄ chɯ̄ˋ aˇ rai	你叫什麼名字？	engine-auto	
คุณปู่	khun puu	kun būˇ	(稱呼) 爺爺	engine-auto	
คุณย่า	khun yaa	kun yāˋ	(稱呼) 奶奶	engine-auto	
คุณยาย	khun yaai	kun yāi	(稱呼) 外婆	engine-auto	
เขา	khao	kāuˊ	他 / 她	engine-auto	
ท่าน	than	tānˋ	他 / 她 (尊敬的用法)	engine-auto	
วันนี้ท่านไม่มา	wan nii than mai maa	wan nī~ tānˋ maiˋ mā	今天他沒來。	engine-auto	
ท่านไปไหน	than pai nai	tānˋ bai naiˊ	他去哪裡？	engine-auto	
มัน	man	man	它	engine-auto	
วันนี้มันไม่มา	wan nii man mai maa	wan nī~ man maiˋ mā	今天它不來。	engine-auto	
มีไหมคะ	mii mai kha	mī maiˊ ka~	有問題嗎？	engine-auto	
พ่อสามี	phor saa mii	pɔ̄ˋ sāˊ mī	公公	engine-auto	
สามี	saa mii	sāˊ mī	先生/丈夫	engine-auto	
พ่อ	phor	pɔ̄ˋ	爸爸	book-exact	(book-exact已用引擎重新驗證)
แม่สามี	mae saa mii	mɛ̄ˋ sāˊ mī	婆婆	engine-auto	
พ่อตา	phor taa	pɔ̄ˋ dā	岳父	engine-auto	
แม่ยาย	mae yaai	mɛ̄ˋ yāi	岳母	engine-auto	
ขอบคุณค่ะ	khop khun kha	kɔ̄pˇ kun kaˋ	謝謝	engine-auto	
ขนมจีน	khanom jiin	kaˇ nom jīn	米線	engine-auto	
อยากกินขนมจีน	yaak kin khanom jiin	yākˋ gin kaˇ nom jīn	想吃米線	engine-auto	
เจอกันอาทิตย์หน้า	joe kan a-thit naa	jə̄ gan ā tit~ nāˋ	下個禮拜見	engine-auto	
วันนี้ขอบคุณค่ะ	wan nii khop khun kha	wan nī~ kɔ̄pˇ kun kaˋ	今天謝謝大家	engine-auto	
บ๊ายบายค่ะ	baai baai kha	bhāi~ bhāi kaˋ	拜拜	engine-auto	
ของ	kong	kɔ̄ngˊ	的、東西	engine-auto	
ชาเย็นของใคร	cha yen kong krai	chā yen kɔ̄ngˊ krai	泰式奶茶是誰的？	engine-auto	
ใคร	krai	krai	誰	engine-auto	
ชาเย็นของผม	cha yen kong phom	chā yen kɔ̄ngˊ pomˊ	（我的）泰式奶茶（男性用）	engine-auto	
ของผม	kong phom	kɔ̄ngˊ pomˊ	我的（男性用）	engine-auto	
ของฉัน	kong chan	kɔ̄ngˊ chanˊ	我的（女性用）	engine-auto	
ชาเย็นของฉัน	cha yen kong chan	chā yen kɔ̄ngˊ chanˊ	（我的）泰式奶茶（女性用）	engine-auto	
กาแฟร้อนของใคร	gaa fae ron kong krai	gā fɛ̄ rɔ̄n~ kɔ̄ngˊ krai	熱咖啡是誰的？	engine-auto	
เขา	kao	kāuˊ	他	engine-auto	
ของเขา	kong kao	kɔ̄ngˊ kāuˊ	他的	engine-auto	
กาแฟร้อนของเขา	gaa fae ron kong kao	gā fɛ̄ rɔ̄n~ kɔ̄ngˊ kāuˊ	他的熱咖啡	engine-auto	
แม่ของฉัน	mae kong chan	mɛ̄ˋ kɔ̄ngˊ chanˊ	我的媽媽	engine-auto	
แม่ฉัน	mae chan	mɛ̄ˋ chanˊ	我媽	engine-auto	
ทำอาหาร	tam a-han	tam ā hānˊ	做菜	engine-auto	
เก่ง	geng	gēngˇ	厲害、很棒	engine-auto	
คุณทำอาหารเก่ง	khun tam a-han geng	kun tam ā hānˊ gēngˇ	你很會做菜	engine-auto	
พูดเก่ง	pood geng	pūtˋ gēngˇ	很會說	engine-auto	
กินเก่ง	gin geng	gin gēngˇ	很會吃	engine-auto	
ทำอาหารเก่ง	tam a-han geng	tam ā hānˊ gēngˇ	很會做菜	engine-auto	
แม่ของฉันทำอาหารเก่ง	mae kong chan tam a-han geng	mɛ̄ˋ kɔ̄ngˊ chanˊ tam ā hānˊ gēngˇ	我媽媽很會做菜	engine-auto	
บ้านของเขา	baan kong kao	bhānˋ kɔ̄ngˊ kāuˊ	他的家	engine-auto	
บ้าน	baan	bhānˋ	家、房子	engine-auto	
ใหญ่มาก	yai mak	yaiˇ mākˋ	非常大	engine-auto	
บ้านของเขาใหญ่มาก	baan kong kao yai mak	bhānˋ kɔ̄ngˊ kāuˊ yaiˇ mākˋ	他的家非常大	engine-auto	
ของทอด	kong thot	kɔ̄ngˊ tɔ̄tˋ	炸物	engine-auto	
กินมากไม่ดี	gin mak mai dee	gin mākˋ maiˋ dhī	吃很多不好	engine-auto	
ไม่ดี	mai dee	maiˋ dhī	不好	engine-auto	
ของทอดกินมากไม่ดี	kong thot gin mak mai dee	kɔ̄ngˊ tɔ̄tˋ gin mākˋ maiˋ dhī	炸物吃多了不好	engine-auto	
ของเผ็ด	kong phet	kɔ̄ngˊ petˇ	辣的東西	engine-auto	
ผมกินของเผ็ดไม่ได้	phom gin kong phet mai dai	pomˊ gin kɔ̄ngˊ petˇ maiˋ dhaiˋ	我不能吃辣的東西（男性用）	engine-auto	
ของปิ้งย่าง	kong ping yang	kɔ̄ngˊ bingˋ yāngˋ	烤的東西	engine-auto	
ของย่าง	kong yang	kɔ̄ngˊ yāngˋ	烤的東西	engine-auto	
ปิ้งย่าง	ping yang	bingˋ yāngˋ	燒烤	engine-auto	
ฉันชอบกินของปิ้งย่าง	chan chop gin kong ping yang	chanˊ chɔ̄pˋ gin kɔ̄ngˊ bingˋ yāngˋ	我喜歡吃烤的東西	engine-auto	
ใครเอา	krai ao	krai au	誰要？	engine-auto	
ใครเอาผัดไทย	krai ao phad thai	krai au patˇ tai	誰要泰式炒河粉？	engine-auto	
ใครทำผัดไทย	krai tam phad thai	krai tam patˇ tai	誰做泰式炒河粉？	engine-auto	
ใครมา	krai ma	krai mā	誰來？	engine-auto	
มา	ma	mā	來	engine-auto	
ใครพูด	krai pood	krai pūtˋ	誰說？	engine-auto	
พูด	pood	pūtˋ	說	book-exact	(book-exact已用引擎重新驗證)
มีใครไหม	mee krai mai	mī krai maiˊ	有人嗎？	engine-auto	
ไม่มีใคร	mai mee krai	maiˋ mī krai	沒有人	engine-auto	
มีใครอยู่ไหม	mee krai yuu mai	mī krai yūˋ maiˊ	有人在嗎？	engine-auto	
มีคนอยู่ไหม	mee khon yuu mai	mī kon yūˋ maiˊ	有人在嗎？	engine-auto	
มีคนไหม	mee khon mai	mī kon maiˊ	有人嗎？	engine-auto	
ไม่มีใครอยู่	mai mee krai yuu	maiˋ mī krai yūˋ	沒有人在	engine-auto	
มีใครเอาไหม	mee krai ao mai	mī krai au maiˊ	有人要嗎？	engine-auto	
ส้มตำ	som tam	somˋ dam	涼拌青木瓜絲	engine-auto	
ไม่มีใครเอา	mai mee krai ao	maiˋ mī krai au	沒有人要	engine-auto	
มีใครชอบไหม	mee krai chop mai	mī krai chɔ̄pˋ maiˊ	有人喜歡嗎？	engine-auto	
ไม่มีใครชอบ	mai mee krai chop	maiˋ mī krai chɔ̄pˋ	沒有人喜歡	engine-auto	
มีใครรู้ไหม	mee krai ru mai	mī krai rū~ maiˊ	有人知道嗎？	engine-auto	
รู้	ru	rū~	知道	engine-auto	
ไม่มีใครรู้	mai mee krai ru	maiˋ mī krai rū~	沒有人知道	engine-auto	
ปู่	puu	būˇ	爺爺（父親的父親）	engine-auto	
ย่า	yaa	yāˋ	奶奶（父親的母親）	engine-auto	
ปู่ย่า	puu yaa	būˇ yāˋ	爺爺奶奶（父系）	engine-auto	
ตา	taa	dā	外公	engine-auto	
ยาย	yaai	yāi	外婆	engine-auto	
ปู่ย่าตายาย	puu yaa taa yaai	būˇ yāˋ dā yāi	（外）祖父母	engine-auto	
พ่อ	por	pɔ̄ˋ	爸爸	book-exact	(book-exact已用引擎重新驗證)
วัน	wan	wan	日、天	book-exact	(book-exact已用引擎重新驗證)
วันพ่อ	wan por	wan pɔ̄ˋ	父親節	engine-auto	
สุขสันต์วันพ่อ	suk san wan por	sukˇ sanˊ wan pɔ̄ˋ	父親節快樂	engine-auto	
สุขสันต์วันเกิด	suk san wan gued	sukˇ sanˊ wan gə̄tˇ	生日快樂	engine-auto	
แม่	mae	mɛ̄ˋ	媽媽	book-exact	(book-exact已用引擎重新驗證)
พ่อแม่	por mae	pɔ̄ˋ mɛ̄ˋ	父母	engine-auto	
ลูก	look	lūkˋ	孩子、…顆（量詞）	book-exact	(book-exact已用引擎重新驗證)
พ่อแม่ลูก	por mae look	pɔ̄ˋ mɛ̄ˋ lūkˋ	父母與孩子	engine-auto	
คุณปู่	khun puu	kun būˇ	爺爺（尊稱）	engine-auto	
คุณย่า	khun yaa	kun yāˋ	奶奶（尊稱）	engine-auto	
คุณยาย	khun yaai	kun yāi	外婆（尊稱）	engine-auto	
คุณตา	khun taa	kun dā	外公（尊稱）	engine-auto	
คุณพ่อ	khun por	kun pɔ̄ˋ	爸爸（尊稱）	engine-auto	
คุณแม่	khun mae	kun mɛ̄ˋ	媽媽（尊稱）	engine-auto	
ปู่ชอบกินปู	puu chop gin puu	būˇ chɔ̄pˋ gin bū	爺爺喜歡吃螃蟹	engine-auto	
คุณปู่ชอบกินปู	khun puu chop gin puu	kun būˇ chɔ̄pˋ gin bū	爺爺喜歡吃螃蟹（尊稱）	engine-auto	
คุณย่าไม่ค่อยสบาย	khun yaa mai koi sabai	kun yāˋ maiˋ kɔ̄iˋ saˇ bhāi	奶奶不太舒服（尊稱）	engine-auto	
ไม่ค่อยสบาย	mai koi sabai	maiˋ kɔ̄iˋ saˇ bhāi	不太舒服	engine-auto	
ตายายของฉัน	taa yaai kong chan	dā yāi kɔ̄ngˊ chanˊ	我的外公外婆	engine-auto	
คุณตาคุณยาย	khun taa khun yaai	kun dā kun yāi	外公外婆（尊稱）	engine-auto	
มาจากเมืองจีน	maa jaak mueang jeen	mā jākˇ mɯ̄ang jīn	來自中國	engine-auto	
มาจาก	maa jaak	mā jākˇ	來自	engine-auto	
เมืองจีน	mueang jeen	mɯ̄ang jīn	中國	engine-auto	
ตายายของฉันมาจากเมืองจีน	taa yaai kong chan maa jaak mueang jeen	dā yāi kɔ̄ngˊ chanˊ mā jākˇ mɯ̄ang jīn	我的外公外婆來自中國	engine-auto	
พ่อแม่ไม่อยู่	por mae mai yuu	pɔ̄ˋ mɛ̄ˋ maiˋ yūˋ	父母不在	engine-auto	
วันนี้	wan nii	wan nī~	今天	engine-auto	
วันนี้พ่อแม่ไม่อยู่	wan nii por mae mai yuu	wan nī~ pɔ̄ˋ mɛ̄ˋ maiˋ yūˋ	今天父母不在	engine-auto	
บ้าน	baan	bhānˋ	家	engine-auto	
วันนี้พ่อแม่ไม่อยู่บ้าน	wan nii por mae mai yuu baan	wan nī~ pɔ̄ˋ mɛ̄ˋ maiˋ yūˋ bhānˋ	今天父母不在家	engine-auto	
ลูกสาว	look saao	lūkˋ sāuˊ	女兒	engine-auto	
อายุเท่าไหร่	aa-yu tao rai	ā yu~ tāuˋ raiˇ	幾歲？	engine-auto	
ลูกสาวอายุ 3 ปี	look saao aa-yu saam bpii	lūkˋ sāuˊ ā yu~ 3 bī	女兒三歲了	engine-auto	
อายุ 3 ปี	aa-yu saam bpii	ā yu~ 3 bī	三歲	engine-auto	
ลูกชาย	look chaai	lūkˋ chāi	兒子	engine-auto	
เรียนเก่ง	rian geng	rīan gēngˇ	會讀書、學習很好	engine-auto	
ลูกชายเรียนเก่ง	look chaai rian geng	lūkˋ chāi rīan gēngˇ	兒子學習很好	engine-auto	
ลูกละเท่าไหร่	look la tao rai	lūkˋ la~ tāuˋ raiˇ	一顆多少錢？	engine-auto	
พี่น้อง	phii nong	pīˋ nɔ̄ng~	兄弟姐妹	engine-auto	
มีพี่น้อง 5 คน	mii phii nong haa khon	mī pīˋ nɔ̄ng~ 5 kon	有五個兄弟姐妹	engine-auto	
พี่ชาย	phii chaai	pīˋ chāi	哥哥	engine-auto	
พี่สาว	phii saao	pīˋ sāuˊ	姐姐	engine-auto	
มี	mii	mī	有	book-exact	(book-exact已用引擎重新驗證)
น้องชาย	nong chaai	nɔ̄ng~ chāi	弟弟	engine-auto	
ไม่มีพี่ชาย มีน้องสาว	mai mii phii chaai mii nong saao	maiˋ mī pīˋ chāi mī nɔ̄ng~ sāuˊ	沒有哥哥，有妹妹	engine-auto	
พี่น้อง	phii nong	pīˋ nɔ̄ng~	兄弟姐妹	engine-auto	
มีพี่น้องกี่คน	mii phii nong gii khon	mī pīˋ nɔ̄ng~ gīˇ kon	有幾個兄弟姐妹？	engine-auto	
พี่	phii	pīˋ	哥哥/姐姐（稱呼較年長者）	engine-auto	
พี่ๆ	phii phii	pīˋ pīˋ	哥哥們/姐姐們	engine-auto	
น้อง	nong	nɔ̄ng~	弟弟/妹妹（稱呼較年輕者）	engine-auto	
น้องๆ	nong nong	nɔ̄ng~ nɔ̄ng~	弟弟們/妹妹們	engine-auto	
พี่คะ ขอเมนูหน่อยค่ะ	phii kha kho menu noi kha	pīˋ ka~ kɔ̄ˊ mē nū nɔ̄iˇ kaˋ	(女) 姐/哥，請給我菜單	engine-auto	
ขอเมนูหน่อย	kho menu noi	kɔ̄ˊ mē nū nɔ̄iˇ	請給我菜單	engine-auto	
น้องคะ เท่าไหร่ครับ	nong kha thao rai khrab	nɔ̄ng~ ka~ tāuˋ raiˇ krap~	(男) 弟/妹，多少錢？	engine-auto	
เท่าไหร่คะ	thao rai kha	tāuˋ raiˇ ka~	(女) 多少錢？	engine-auto	
พี่คะ เท่าไหร่คะ	phii kha thao rai kha	pīˋ ka~ tāuˋ raiˇ ka~	(女) 姐/哥，多少錢？	engine-auto	
ผู้ใหญ่	phu yai	pūˋ yaiˇ	大人、成年人	engine-auto	
ตั๋วผู้ใหญ่	tua phu yai	dūaˊ pūˋ yaiˇ	成人票	engine-auto	
ตั๋ว	tua	dūaˊ	票	engine-auto	
ตั๋วผู้ใหญ่ใบละเท่าไหร่	tua phu yai bai la thao rai	dūaˊ pūˋ yaiˇ bhai la~ tāuˋ raiˇ	成人票一張多少錢？	engine-auto	
ใบละเท่าไหร่	bai la thao rai	bhai la~ tāuˋ raiˇ	一張多少錢？	engine-auto	
ตั๋วผู้ใหญ่ใบละ 30 บาท	tua phu yai bai la 30 baht	dūaˊ pūˋ yaiˇ bhai la~ 30 bhātˇ	成人票一張30泰銖	engine-auto	
บาท	baht	bhātˇ	泰銖	engine-auto	
ใบละ 30 บาท	bai la 30 baht	bhai la~ 30 bhātˇ	一張30泰銖	engine-auto	
คนไทย	khon thai	kon tai	泰國人	engine-auto	
30 บาท	30 baht	30 bhātˇ	30泰銖	engine-auto	
50 บาท	50 baht	50 bhātˇ	50泰銖	engine-auto	
เด็ก	dek	dhekˇ	小孩、兒童	engine-auto	
ตั๋วเด็ก	tua dek	dūaˊ dhekˇ	兒童票	engine-auto	
วันเด็ก	wan dek	wan dhekˇ	兒童節	engine-auto	
วัน	wan	wan	日子、天	book-exact	(book-exact已用引擎重新驗證)
เด็ก	dek	dhekˇ	小孩	engine-auto	
เด็กชอบกินขนม	dek chop kin khanom	dhekˇ chɔ̄pˋ gin kaˇ nom	小孩喜歡吃零食	engine-auto	
ผู้ใหญ่	phu yai	pūˋ yaiˇ	大人	engine-auto	
ผู้ชาย	phu chaai	pūˋ chāi	男人、男生	engine-auto	
ชาย	chaai	chāi	男	engine-auto	
ห้องน้ำผู้ชาย	hong nam phu chaai	hɔ̄ngˋ nām~ pūˋ chāi	男生廁所	engine-auto	
ห้องน้ำชาย	hong nam chaai	hɔ̄ngˋ nām~ chāi	男廁	engine-auto	
ห้องน้ำชายอยู่ที่ไหน	hong nam chaai yuu thi nai	hɔ̄ngˋ nām~ chāi yūˋ tīˋ naiˊ	男廁在哪裡？	engine-auto	
ครับ	khrab	krap~	(男) 語氣助詞	engine-auto	
ผู้หญิง	phu ying	pūˋ yingˊ	女人、女生	engine-auto	
ห้องน้ำผู้หญิง	hong nam phu ying	hɔ̄ngˋ nām~ pūˋ yingˊ	女生廁所	engine-auto	
ห้องน้ำหญิง	hong nam ying	hɔ̄ngˋ nām~ yingˊ	女廁	engine-auto	
อยู่ตรงไหน	yuu trong nai	yūˋ drong naiˊ	在哪個位置？	engine-auto	
ห้องน้ำหญิงอยู่ตรงไหน	hong nam ying yuu trong nai	hɔ̄ngˋ nām~ yingˊ yūˋ drong naiˊ	女廁在哪個位置？	engine-auto	
อยู่ตรงไหนคะ	yuu trong nai kha	yūˋ drong naiˊ ka~	(女) 在哪個位置呢？	engine-auto	
คะ	kha	ka~	(女) 語氣助詞	engine-auto	
ขอโทษค่ะ	kho thot kha	kɔ̄ˊ tōtˋ kaˋ	(女) 不好意思、對不起	engine-auto	
ขอโทษค่ะ ห้องน้ำหญิงอยู่ตรงไหนคะ	kho thot kha hong nam ying yuu trong nai kha	kɔ̄ˊ tōtˋ kaˋ hɔ̄ngˋ nām~ yingˊ yūˋ drong naiˊ ka~	(女) 不好意思，女廁在哪個位置呢？	engine-auto	
แฟน	faen	fɛ̄n	情人、男朋友、女朋友	engine-auto	
แล้ว	laeo	lɛ̄u~	了	book-exact	(book-exact已用引擎重新驗證)
มีแฟนแล้ว	mii faen laeo	mī fɛ̄n lɛ̄u~	有情人了	engine-auto	
เขามีแฟนแล้ว	khao mii faen laeo	kāuˊ mī fɛ̄n lɛ̄u~	他有情人了	engine-auto	
แฟนคลับ	faen club	fɛ̄n klap~	粉絲俱樂部、粉絲	engine-auto	
