課次	泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
初 1	ป๊อปคอร์น	pop kon	bɔ̄p~ kɔ̄n	爆米花	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ช็อกโกแลต	chok go let	chɔk~ gō lɛ̄tˋ	巧克力	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เบคอน	be kon	bhē kɔ̄n	培根	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เฟรนช์ฟราย	fren frai	frēn frāi	薯條	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	สลัด	sa lat	saˇ latˇ	沙拉	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	สุกี้	suki	suˇ gīˋ	泰式火鍋（一人一鍋）	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	หม้อไฟ	mo fai	mɔ̄ˋ fai	傳統火鍋（共鍋）	derived	
初 1	หม้อ	mo	mɔ̄ˋ	鍋子	derived	
初 1	ไฟ	fai	fai	火	engine-auto	
初 1	ขนมจีน	ka nom jin	kaˇ nom jīn	泰式米線	derived	
初 1	ขนมจีบ	ka nom jip	kaˇ nom jīpˇ	燒賣	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ซาลาเปา	sa la bao	sā lā bāu	包子	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	มันทอด	man tho	man tɔ̄tˋ	馬鈴薯	derived	
初 1	ติ่มซำ	dim sam	dimˇ sam	點心（港式）	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เกี๊ยว	giau	gīau~	餃子	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เกี๊ยวน้ำ	giau nam	gīau~ nām~	餛飩湯	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ปอเปี๊ยะทอด	por pia thot	bɔ̄ bīa~ tɔ̄tˋ	炸春卷	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ปอเปี๊ยะสด	por pia sot	bɔ̄ bīa~ sotˇ	潤餅	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	คะน้า	ka na	ka~ nā~	芥蘭	derived	
初 1	น้ำมันหอย	nam man hoi	nām~ man hɔ̄iˊ	蠔油	engine-auto	
初 1	พะโล้	pa lo	pa~ lō~	滷	derived	
初 1	ตุ๋น	dun	dunˊ	燉	derived	
初 1	มาม่า	mama	mā māˋ	泡麵	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เฉาก๊วย	chao guei	chāuˊ gūay~	仙草	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เต้าหู้ยี้	dau huei	dāuˋ hūˋ yī~	豆花	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เต้าหู้	dau hu	dāuˋ hūˋ	豆腐	derived	
初 1	น้ำเต้าหู้	nam dau hu	nām~ dāuˋ hūˋ	豆漿	derived	
初 1	น้ำเก๊กฮวย	nam gek huei	nām~ gēk~ hūay	菊花茶	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	กุยช่าย	gui chai	gui chāiˋ	韭菜	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ไช้เท้า	chai tau	chai~ tāu~	菜頭（蘿蔔）	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	ไชโป๊	chai bo	chai bō~	菜脯	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	โรตี	roti	rō dī	泰式煎餅（甜）	engine-auto	
初 1	เครป	crepe	krēpˇ	可麗餅	derived	外來語/中式借詞：按拼字規則機械推導，信心較低，建議請 Nalin 用耳朵核對聲調
初 1	เท่าไหร่	thao rai	tāuˋ raiˇ	多少	derived	
初 1	ราคาเท่าไหร่	rakha thao rai	rā kā tāuˋ raiˇ	價錢多少	derived	
初 1	อายุเท่าไหร่	ayu thao rai	ā yu~ tāuˋ raiˇ	年紀多少？	derived	
初 1	นานเท่าไหร่	nan thao rai	nān tāuˋ raiˇ	多久？	derived	
初 1	มีกี่เท่าไหร่	mi thao rai	mī - gīˇ tāuˋ raiˇ	有多少？	book-assisted	
初 1	วันที่เท่าไหร่	wan thi thao rai	wan - tīˋ tāuˋ raiˇ	第幾日？	book-assisted	
初 1	ซอยที่เท่าไหร่	soi thi thao rai	sɔ̄i tīˋ tāuˋ raiˇ	第幾巷？	derived	
初 1	หน้ที่เท่าไหร่	na thi thao rai	nāˋ tīˋ tāuˋ raiˇ	第幾頁？	derived	
初 1	ถูกหน่อยได้ไหม	thuk noi dai mai	tūkˇ nɔ̄iˇ dhaiˋ maiˊ	便宜點可以嗎？	derived	
初 1	ลดหน่อยได้ไหม	lot noi dai mai	lot~ nɔ̄iˇ dhaiˋ maiˊ	可以打折嗎？（較好的說法）	derived	
初 1	เก้าแสนล้าน	kao saen laan	gāuˋ sɛ̄nˊ lān~	九百億	derived	
初 1	แปดสิบล้าน	paet sip laan	bɛ̄tˇ sipˇ lān~	八十億	derived	
初 1	เจ็ดร้อยล้าน	chet roi laan	jetˇ rɔ̄i~ lān~	七億	derived	
初 1	หกสิบล้าน	hok sip laan	hokˇ sipˇ lān~	六千萬	derived	
初 1	ห้าล้าน	ha laan	hāˋ lān~	五百萬	derived	
初 1	สี่แสน	si saen	sīˇ sɛ̄nˊ	四十萬	derived	
初 1	สามหมื่น	saam meuun	sāmˊ mɯ̄nˇ	三萬	derived	
初 1	สองพัน	song phan	sɔ̄ngˊ pan	兩千	derived	
初 1	หนึ่งร้อย	neung roi	nɯngˇ rɔ̄i~	一百	derived	
初 1	หกสิบ	hok sip	hokˇ sipˇ	六十	derived	
初 1	ศูนย์	soon	sūnˊ	0	derived	
初 1	หนึ่ง	neung	nɯngˇ	1	derived	
初 1	สอง	song	sɔ̄ngˊ	2	derived	
初 1	สาม	saam	sāmˊ	3	derived	
初 1	สี่	si	sīˇ	4	derived	
初 1	ห้า	ha	hāˋ	5	derived	
初 1	หก	hok	hokˇ	6	derived	
初 1	เจ็ด	chet	jetˇ	7	derived	
初 1	แปด	paet	bɛ̄tˇ	8	engine-auto	
初 1	เก้า	kao	gāuˋ	9	derived	
初 1	สิบ	sip	sipˇ	10	derived	
初 1	สิบเอ็ด	sip et	sipˇ etˇ	11	derived	
初 1	สิบสอง	sip song	sipˇ sɔ̄ngˊ	12	derived	
初 1	สิบสาม	sip saam	sipˇ sāmˊ	13	derived	
初 1	สิบสี่	sip si	sipˇ sīˇ	14	derived	
初 1	สิบห้า	sip ha	sipˇ hāˋ	15	derived	
初 1	สิบหก	sip hok	sipˇ hokˇ	16	derived	
初 1	สิบเจ็ด	sip chet	sipˇ jetˇ	17	derived	
初 1	สิบแปด	sip paet	sipˇ bɛ̄tˇ	18	derived	
初 1	สิบเก้า	sip kao	sipˇ gāuˋ	19	derived	
初 1	ยี่สิบ	yi sip	yīˋ sipˇ	20	derived	
初 1	ยี่สิบเอ็ด	yi sip et	yīˋ sipˇ etˇ	21	derived	
初 1	ยี่สิบสอง	yi sip song	yīˋ sipˇ sɔ̄ngˊ	22	derived	
初 1	ยี่สิบสาม	yi sip saam	yīˋ sipˇ sāmˊ	23	derived	
初 1	ยี่สิบสี่	yi sip si	yīˋ sipˇ sīˇ	24	derived	
初 1	ยี่สิบห้า	yi sip ha	yīˋ sipˇ hāˋ	25	derived	
初 1	ยี่สิบหก	yi sip hok	yīˋ sipˇ hokˇ	26	derived	
初 1	ยี่สิบเจ็ด	yi sip chet	yīˋ sipˇ jetˇ	27	derived	
初 1	ยี่สิบแปด	yi sip paet	yīˋ sipˇ bɛtˇ	28	derived	
初 1	ยี่สิบเก้า	yi sip kao	yīˋ sipˇ gāuˋ	29	derived	
初 1	สามสิบ	saam sip	sāmˊ sipˇ	30	derived	
初 1	หนึ่งร้อยเอ็ด	neung roi et	nɯngˇ rɔ̄i~ etˇ	101	derived	
初 1	หนึ่งร้อยสอง	neung roi song	nɯngˇ rɔ̄i~ sɔ̄ngˊ	102	derived	
初 1	หนึ่งร้อยสาม	neung roi saam	nɯngˇ rɔ̄i~ sāmˊ	103	derived	
初 1	หนึ่งร้อยสี่	neung roi si	nɯngˇ rɔ̄i~ sīˇ	104	derived	
初 1	หนึ่งร้อยห้า	neung roi ha	nɯngˇ rɔ̄i~ hāˋ	105	derived	
初 1	หนึ่งร้อยหก	neung roi hok	nɯngˇ rɔ̄i~ hokˇ	106	derived	
初 1	หนึ่งร้อยเจ็ด	neung roi chet	nɯngˇ rɔ̄i~ jetˇ	107	derived	
初 1	หนึ่งร้อยแปด	neung roi paet	nɯngˇ rɔ̄i~ bɛ̄tˇ	108	derived	
初 1	หนึ่งร้อยเก้า	neung roi kao	nɯngˇ rɔ̄i~ gāuˋ	109	derived	
初 1	หนึ่งร้อยสิบ	neung roi sip	nɯngˇ rɔ̄i~ sipˇ	110	derived	
初 1	หนึ่งร้อยสิบเอ็ด	neung roi sip et	nɯngˇ rɔ̄i~ sipˇ etˇ	111	derived	
初 1	หนึ่งร้อยสิบสอง	neung roi sip song	nɯngˇ rɔ̄i~ sipˇ sɔ̄ngˊ	112	derived	
初 1	หนึ่งร้อยสิบสาม	neung roi sip saam	nɯngˇ rɔ̄i~ sipˇ sāmˊ	113	derived	
初 1	หนึ่งร้อยสิบสี่	neung roi sip si	nɯngˇ rɔ̄i~ sipˇ sīˇ	114	derived	
初 1	หนึ่งร้อยสิบห้า	neung roi sip ha	nɯngˇ rɔ̄i~ sipˇ hāˋ	115	derived	
初 1	หนึ่งร้อยสิบหก	neung roi sip hok	nɯngˇ rɔ̄i~ sipˇ hokˇ	116	derived	
初 1	หนึ่งร้อยสิบเจ็ด	neung roi sip chet	nɯngˇ rɔ̄i~ sipˇ jetˇ	117	derived	
初 1	หนึ่งร้อยสิบแปด	neung roi sip paet	nɯngˇ rɔ̄i~ sipˇ bɛ̄tˇ	118	derived	
初 1	หนึ่งร้อยสิบเก้า	neung roi sip kao	nɯngˇ rɔ̄i~ sipˇ gāuˋ	119	derived	
初 1	หนึ่งร้อยยี่สิบ	neung roi yi sip	nɯngˇ rɔ̄i~ yīˋ sipˇ	120	derived	
初 1	หนึ่งร้อยสิบ	neung roi sip	nɯngˇ rɔ̄i~ sipˇ	110	derived	
初 1	หนึ่งร้อยยี่สิบ	neung roi yi sip	nɯngˇ rɔ̄i~ yīˋ sipˇ	120	derived	
初 1	หนึ่งร้อยสามสิบ	neung roi saam sip	nɯngˇ rɔ̄i~ sāmˊ sipˇ	130	derived	
初 1	หนึ่งร้อยสี่สิบ	neung roi si sip	nɯngˇ rɔ̄i~ sīˇ sipˇ	140	derived	
初 1	หนึ่งร้อยห้าสิบ	neung roi ha sip	nɯngˇ rɔ̄i~ hāˋ sipˇ	150	derived	
初 1	หนึ่งร้อยหกสิบ	neung roi hok sip	nɯngˇ rɔ̄i~ hokˇ sipˇ	160	derived	
初 1	หนึ่งร้อยเจ็ดสิบ	neung roi chet sip	nɯngˇ rɔ̄i~ jetˇ sipˇ	170	derived	
初 1	หนึ่งร้อยแปดสิบ	neung roi paet sip	nɯngˇ rɔ̄i~ bɛ̄tˇ sipˇ	180	derived	
初 1	หนึ่งร้อยเก้าสิบ	neung roi kao sip	nɯngˇ rɔ̄i~ gāuˋ sipˇ	190	derived	
初 1	สองร้อย	song roi	sɔ̄ngˊ rɔ̄i~	200	derived	
初 1	พ.ศ. 2568	pho so song phan haa roi hok sip paet	pɔ̄ sɔ̄ˊ sɔ̄ngˊ pan hāˋ rɔ̄i~ hokˇ sipˇ bɛ̄tˋ	佛曆2568	derived	พ.ศ. 唸法（唸字母名 pɔ̄-sɔ̄ˊ 還是唸全稱 phutthasakkarat）請 Nalin 確認慣用方式，這裡先照唸字母名處理
初 1	อันนี้ใช่ไหม	an ni chai mai	an nī~ chaiˋ maiˊ	這個是嗎？	derived	
初 1	คนนี้ใช่ไหม	khon ni chai mai	kon nī~ chaiˋ maiˊ	這個人是嗎？	derived	
初 1	คนนั้นใช่ไหม	khon nan chai mai	kon nan~ chaiˋ maiˊ	那個人是嗎？	derived	
初 1	ชื่ออะไร	chue arai	chɯ̄ˋ aˇ rai	名字是什麼？	engine-auto	
初 1	ซอยอะไร	soi arai	sɔ̄i aˇ rai	什麼巷？	derived	
初 1	เบอร์โทรศัพท์อะไร	ber thor-asap arai	bhə̄ tō ra~ sapˇ aˇ rai	電話號碼？	derived	
初 1	มีเงินเท่าไหร่	mi ngoen thao rai	mī - ngə̄n tāuˋ raiˇ	有多少錢？	book-assisted	
初 1	มีเวลาเท่าไหร่	mi wela thao rai	mī - wē lā tāuˋ raiˇ	有多少時間？	book-assisted	
初 1	ใช้เงินเท่าไหร่	chai ngoen thao rai	chai~ ngə̄n tāuˋ raiˇ	花多少錢？	derived	
初 1	ใช้เวลาเท่าไหร่	chai wela thao rai	chai~ wē lā tāuˋ raiˇ	花多少時間？	derived	
初 1	เสียเวลาเท่าไหร่	sia wela thao rai	sīaˊ wē lā tāuˋ raiˇ	浪費多少時間？	derived	
初 1	เสียเงินเท่าไหร่	sia ngoen thao rai	sīaˊ ngə̄n tāuˋ raiˇ	浪費多少錢？	derived	
初 1	ใส่	sai	saiˇ	穿/戴/裝	engine-auto	
初 1	กินที่นี่หรือใส่ถุง	kin thi ni rue sai thung	gin tīˋ nīˋ rɯ̄ˊ saiˇ tungˊ	在這吃或打包帶走？	derived	
初 1	กินที่นี่หรือกลับบ้าน	kin thi ni rue glap ban	gin tīˋ nīˋ rɯ̄ˊ glapˇ bhānˋ	在這吃或外帶（帶回家）？	derived	
初 1	คนละเท่าไหร่	khon la thao rai	kon la~ tāuˋ raiˇ	每人多少？	derived	
初 1	กิโลละเท่าไหร่	kilo la thao rai	giˇ lō la~ tāuˋ raiˇ	每公斤多少？	derived	
初 1	ตั๋วใบละเท่าไหร่	tua bai la thao rai	dūaˊ bhai la~ tāuˋ raiˇ	票每張多少？	engine-auto	
初 1	น้ำส้มขวดละเท่าไหร่	nam som khuat la thao rai	nām~ somˋ kūatˇ la~ tāuˋ raiˇ	橙汁每瓶多少？	derived	
初 1	เอาอย่างละจาน	ao yang la jan	au yāngˋ la~ jān	每樣來一盤	derived	
初 1	เอาอย่างละแก้ว	ao yang la kaew	au yāngˋ la~ gɛ̄uˋ	每樣來一杯	derived	
初 1	อย่าง	yang	yāngˋ	樣子、情況、狀態	derived	
初 1	ทำไมเป็นอย่างนี้	thammai pen yang nii	tam mai ben yāngˋ nī~	為什麼會變成這樣？	derived	
初 1	วินาที	wi naa thee	wi~ nā tī	秒	derived	
初 1	นาที	naa thee	nā tī	分鐘	derived	
初 1	ชั่วโมง	chua mong	chūaˋ mōng	小時	derived	
初 1	สัปดาห์	sap daa	sapˇ dhā	星期	derived	
初 1	อาทิตย์	a thit	ā tit~	星期	derived	
初 1	วัน	wan	wan	日	book-exact	(book-exact已用引擎重新驗證)
初 1	เดือน	duean	dhɯ̄an	月	derived	
初 1	ปี	pii	bī	年	engine-auto	
初 1	คืน	kheun	kɯ̄n	晚	derived	
初 1	กล่อง	klong	glɔ̄ngˇ	盒	derived	
初 1	ลูก	luk	lūkˋ	子（櫻桃、冰淇淋）	book-exact	(book-exact已用引擎重新驗證)
初 1	แผ่น	phaen	pɛ̄nˇ	片（片狀、扁平的東西）	derived	
初 1	ชิ้น	chin	chin~	件／塊 / slice（某個部分）	derived	
初 1	กระดาษห้าแผ่น	gra-daat haa phaen	graˇ dhātˇ hāˋ pɛ̄nˇ	五張紙	derived	
初 1	พิซซ่าหกชิ้น	pizza hok chín	pit~ sāˋ hokˇ chin~	六片披薩	derived	
初 1	ลูกชิ้น	luk chin	lūkˋ chin~	丸子	derived	
初 1	ไม้ลูกชิ้นปิ้ง	maai luk chin ping	mai~ lūkˋ chin~ bingˋ	烤丸子串	derived	
初 1	กิโลกรัม	kilo kram	giˇ lō gram	公斤	derived	
初 1	กรัม	kram	gram	公克	derived	
初 1	เมตร	met	mētˋ	公尺	derived	
初 1	เซนติเมตร	sen ti met	sēn diˇ mētˋ	公分	derived	
初 1	ลิตร	lit	lit~	公升	derived	
初 1	มิเตอร์	meter	mi~ də̄	跳表 / 計費錶	derived	
初 1	กดมิเตอร์	got meter	gotˇ mi~ də̄	按跳表	derived	
初 2-1	ร้าน	raan	rān~	店	book-exact	(book-exact已用引擎重新驗證)
初 2-1	ร้านอาหาร	raan aahaan	rān~ ā hānˊ	餐廳	engine-auto	
初 2-1	ร้านกาแฟ	raan gaafae	rān~ gā fɛ̄	咖啡店	engine-auto	
初 2-1	ยา	yaa	yā	藥	book-exact	(book-exact已用引擎重新驗證)
初 2-1	ร้านยา	raan yaa	rān~ yā	藥局	engine-auto	
初 2-1	ร้านนี้	raan ni	rān~ nī~	這家店	engine-auto	
初 2-1	ชื่ออะไร	chue arai	chɯ̄ˋ aˇ rai	叫什麼名字	engine-auto	
初 2-1	เดิน	dern	dhə̄n	走路	engine-auto	
初 2-1	เดินไปไหน	dern pai nai	dhə̄n bai naiˊ	走到哪裡	engine-auto	
初 2-1	เดินไปตลาด	dern pai talat	dhə̄n bai daˇ lātˋ	走去市場	engine-auto	
初 2-1	ตลาด	talat	daˇ lātˋ	市場	book-exact	(book-exact已用引擎重新驗證)
初 2-1	เดินไปร้านยา	dern pai raan yaa	dhə̄n bai rān~ yā	走去藥局	engine-auto	
初 2-1	ยา	yaa	yā	藥	book-exact	(book-exact已用引擎重新驗證)
初 2-1	เดินไปสถานีรถไฟฟ้า	dern pai sathani rot fai fa	dhə̄n bai saˇ tāˊ nī rot~ fai fā~	走去捷運站	engine-auto	
初 2-1	สถานีรถไฟฟ้า	sathani rot fai fa	saˇ tāˊ nī rot~ fai fā~	捷運站	engine-auto	
初 2-1	สถานี BTS	sathani BTS	saˇ tāˊ nī BTS	BTS 站	engine-auto	
初 2-1	สถานี MRT	sathani MRT	saˇ tāˊ nī MRT	MRT 站	engine-auto	
初 2-1	ท่าเรือ	tha ruea	tāˋ rɯ̄a	碼頭	engine-auto	
初 2-1	เดินไปท่าเรือ	dern pai tha ruea	dhə̄n bai tāˋ rɯ̄a	走去碼頭	engine-auto	
初 2-1	เดินไปป้ายรถเมล์	dern pai paai rot mae	dhə̄n bai bāiˋ rot~ mē	走去公車站牌	engine-auto	
初 2-1	ป้ายรถเมล์	paai rot mae	bāiˋ rot~ mē	公車站牌	engine-auto	
初 2-1	เดินไปป้ายรถเมล์	dern pai paai rot mae	dhə̄n bai bāiˋ rot~ mē	走去公車站牌	engine-auto	
初 2-1	เดินไปแปดนาที	dern pai paet natee	dhə̄n bai bɛ̄tˇ nā tī	走八分鐘	engine-auto	
初 2-1	แปด	paet	bɛ̄tˇ	八	engine-auto	
初 2-1	นาที	natee	nā tī	分鐘	engine-auto	
初 2-1	เรียน	rian	rīan	學、上課	book-exact	(book-exact已用引擎重新驗證)
初 2-1	ภาษา	pasa	pā sāˊ	語言	engine-auto	
初 2-1	ภาษาไทย	pasa thai	pā sāˊ tai	泰文	engine-auto	
初 2-1	เรียนภาษาไทย	rian pasa thai	rīan pā sāˊ tai	學泰文	engine-auto	
初 2-1	เรียนภาษาอังกฤษ	rian pasa angkrit	rīan pā sāˊ ang gritˇ	學英文	derived	
初 2-1	เรียนเก่ง	rian keng	rīan gēngˇ	很會讀書	engine-auto	
初 2-1	เก่ง	keng	gēngˇ	厲害、棒	engine-auto	
初 2-1	เรียนเก่ง	rian keng	rīan gēngˇ	很會讀書	engine-auto	
初 2-1	เรียนทำอาหาร	rian tam aahaan	rīan tam ā hānˊ	學做菜	engine-auto	
初 2-1	อาหาร	aahaan	ā hānˊ	食物、菜	book-exact	(book-exact已用引擎重新驗證)
初 2-1	ทำอาหาร	tam aahaan	tam ā hānˊ	做菜	engine-auto	
初 2-1	เรียนทำอาหาร	rian tam aahaan	rīan tam ā hānˊ	學做菜	engine-auto	
初 2-1	ฟัง	fang	fang	聽	book-exact	(book-exact已用引擎重新驗證)
初 2-1	ฟังอะไร	fang arai	fang aˇ rai	聽什麼	engine-auto	
